"ch_1","ch_2","ch_3","ch_4","ch_5","ch_6","ch_7","ch_8","finger"
"0.018668","0.022547","0.044757","0.022457","0.028189","0.02867","0.012216","0.010617","0"
"0.01795","0.031246","0.052151","0.026327","0.040559","0.037387","0.01368","0.011758","0"
"0.015853","0.026097","0.050548","0.022868","0.028892","0.027833","0.012023","0.0095362","0"
"0.019498","0.025847","0.054403","0.023685","0.033908","0.03294","0.013488","0.010389","0"
"0.017394","0.02251","0.045384","0.019246","0.025878","0.026729","0.012925","0.010481","0"
"0.015052","0.025456","0.030437","0.019503","0.026798","0.027963","0.013364","0.016737","0"
"0.015236","0.021825","0.041983","0.021053","0.025242","0.022554","0.011777","0.0085052","0"
"0.013819","0.018114","0.040366","0.020161","0.024098","0.023506","0.011699","0.0091861","0"
"0.017803","0.025024","0.047666","0.022747","0.028924","0.029998","0.011355","0.010177","0"
"0.019953","0.026189","0.050842","0.024524","0.032504","0.029734","0.013133","0.01148","0"
"0.015886","0.027178","0.048329","0.020346","0.023097","0.024541","0.011362","0.0098633","0"
"0.017754","0.023694","0.054422","0.022888","0.031523","0.032467","0.013023","0.010595","0"
"0.013459","0.024313","0.044829","0.022695","0.022904","0.022114","0.0095425","0.0083464","0"
"0.01662","0.021755","0.038491","0.021724","0.030823","0.028614","0.012476","0.010639","0"
"0.016005","0.022756","0.053974","0.024736","0.032949","0.033347","0.012382","0.010147","0"
"0.018484","0.025243","0.048605","0.025371","0.027626","0.026895","0.011027","0.010411","0"
"0.019348","0.026384","0.047955","0.024217","0.027875","0.027698","0.012588","0.010297","0"
"0.019322","0.030607","0.055739","0.022946","0.032177","0.032958","0.01234","0.011156","0"
"0.01855","0.029146","0.063315","0.022752","0.025993","0.026224","0.012673","0.01036","0"
"0.015869","0.02126","0.049407","0.023999","0.026434","0.0244","0.011846","0.0094367","0"
"0.016359","0.023649","0.056792","0.027913","0.032779","0.032268","0.013324","0.010004","0"
"0.015928","0.025206","0.050108","0.026231","0.027746","0.029945","0.012439","0.010022","0"
"0.013177","0.024357","0.052258","0.021304","0.022075","0.020927","0.010212","0.0082461","0"
"0.015144","0.024997","0.059057","0.024213","0.026382","0.02694","0.011745","0.0090978","0"
